board_id,date,date_hebrew,context,part,chapter,halacha_id,title,summary,credit,url,halacha_key
default,2025-10-05,13 תשרי 5786,sukkot/pre,ג,52.0,ז,הלכות סוכה פרק נב,"סוכה המשמשת למגורי קבע במשך כל השנה, פסולה, וכדי להכשירה צריך להגביה את כל הסכך ולהניחו שוב לשם סוכה.",מתוך תורת המחנה,https://www.idf.il/אתרי-יחידות/חיל-הרבנות-הצבאית/תוכן-מידע-לחייל/הלכה/קיצור-תורת-המחנה/קיצור-תורת-המחנה-חלק-ג/פרק-נב/,
default,2025-10-05,13 תשרי 5786,sukkot/pre,ג,52.0,א,הלכות סוכה פרק נב,"נוהגים להתחיל בבניית הסוכה מייד במוצאי יום הכיפורים כדי לצאת ממצוה למצוה. עם זאת, פשוט שאם יקשה עליו לבנות את הסוכה לאחר יום הכיפורים, רשאי לבנותה קודם לכן. אגב יש להוסיף, שחל איסור לעשות מלאכה ברבע האחרון של יום ששי (עיין פרק כט תשובה ח, שי""א שהאיסור חל כבר מחצות היום). לפיכך, חייל שמתפנה לבניית הסוכה ביום ששי או בערב החג, ישתדל לבנותה בשעה מוקדמת. אמנם פשוט שמי שנאנס ולא הספיק לבנות את הסוכה עד שעה מאוחרת בערב סוכו…",מתוך תורת המחנה,https://www.idf.il/אתרי-יחידות/חיל-הרבנות-הצבאית/תוכן-מידע-לחייל/הלכה/קיצור-תורת-המחנה/קיצור-תורת-המחנה-חלק-ג/פרק-נב/,
default,2025-10-06,14 תשרי 5786,sukkot/core,ג,52.0,ב,הלכות סוכה פרק נב,"מי שלא עשה סוכה קודם החג, עושה סוכתו בחול המועד (ובישיבתו הראשונה בה יברך אף 'שהחיינו', ולמנהג הספרדים יברך 'שהחיינו' על בניית הסוכה גם אם כבר בירך על ישיבתו בסוכה אחרת), אולם יש אומרים שיש להימנע מפירוק סוכה בחול המועד, מלבד אם נצרך לבנותה במקום אחר, ולכתחילה ראוי לחוש לדבריהם, אך במקום צורך, כגון כשעוזב את האיזור וחושש לאובדן הציוד, ניתן להקל בזה. במקום צורך, כגון שאין הסוכה מכילה את כמות החיילים שגדלה בחול המועד,…",מתוך תורת המחנה,https://www.idf.il/אתרי-יחידות/חיל-הרבנות-הצבאית/תוכן-מידע-לחייל/הלכה/קיצור-תורת-המחנה/קיצור-תורת-המחנה-חלק-ג/פרק-נב/,
default,2025-10-06,14 תשרי 5786,sukkot/core,ג,52.0,ג,הלכות סוכה פרק נב,"יש למקם את הסוכה תחת כיפת השמיים, במקום נקי מריח רע ולא סמוך לשירותים או ביוב וכד'.",מתוך תורת המחנה,https://www.idf.il/אתרי-יחידות/חיל-הרבנות-הצבאית/תוכן-מידע-לחייל/הלכה/קיצור-תורת-המחנה/קיצור-תורת-המחנה-חלק-ג/פרק-נב/,
default,2025-10-07,15 תשרי 5786,sukkot/post,ג,52.0,י,הלכות סוכה פרק נב,"סכך פסול החוצץ בין הסכך הכשר לדופן, ורוחבו פחות מד' אמות (כשני מטרים), נידון כהמשך הדופן ('דופן עקומה'). לאור זאת, תקרת מבנה או כלי רק""מ שיש במרכזם פתח בשטח הכשר סוכה (ז' על ז' טפחים, 58 על 58 ס""מ) שהניחו עליו סכך כשר, ובין הסכך לכתלים יש פחות מד' אמות, כשר החלל המסוכך לשמש לסוכה.",מתוך תורת המחנה,https://www.idf.il/אתרי-יחידות/חיל-הרבנות-הצבאית/תוכן-מידע-לחייל/הלכה/קיצור-תורת-המחנה/קיצור-תורת-המחנה-חלק-ג/פרק-נב/,
default,2025-10-07,15 תשרי 5786,sukkot/post,ג,52.0,ו,הלכות סוכה פרק נב,"סוכה שנבנתה חודשים רבים לפני החג לשם מצוה, כשרה. סוכה משנה שעברה או שנבנתה לשם צל למעלה משלושים יום קודם החג, כשרה, ובלבד שיוסיף בה מעט סכך (כשיעור טפח על טפח) סמוך לחג.",מתוך תורת המחנה,https://www.idf.il/אתרי-יחידות/חיל-הרבנות-הצבאית/תוכן-מידע-לחייל/הלכה/קיצור-תורת-המחנה/קיצור-תורת-המחנה-חלק-ג/פרק-נב/,
default,2025-10-08,16 תשרי 5786,sukkot/post,ג,52.0,ד,הלכות סוכה פרק נב,"סוכה על גבי רכב כשרה, ואף בזמן הנסיעה, למרות שאינה קבועה במקומה, ובלבד שיהא בה שיעור סוכה ושתהא יכולה לעמוד ברוח מצויה של אותו איזור (הנכנס בחג או בשבת לסוכה שהוקמה על גבי רכב צריך להיזהר לא להפעיל מנגנונים חשמליים).",מתוך תורת המחנה,https://www.idf.il/אתרי-יחידות/חיל-הרבנות-הצבאית/תוכן-מידע-לחייל/הלכה/קיצור-תורת-המחנה/קיצור-תורת-המחנה-חלק-ג/פרק-נב/,
default,2025-10-08,16 תשרי 5786,sukkot/post,ג,52.0,ה,הלכות סוכה פרק נב,"סוכה שלא נבנתה לשם מצוה אלא לצורך מחסה מפני השמש, כשרה, אך אם עשאה שלא לשם צל אלא למחסן, הסוואה וכד', פסולה.",מתוך תורת המחנה,https://www.idf.il/אתרי-יחידות/חיל-הרבנות-הצבאית/תוכן-מידע-לחייל/הלכה/קיצור-תורת-המחנה/קיצור-תורת-המחנה-חלק-ג/פרק-נב/,
default,2025-10-09,17 תשרי 5786,sukkot/post,ג,52.0,יג,הלכות סוכה פרק נב,"הסוכה וקישוטיה יוחדו למשך כל ימי החג לצורך המצוה ולכן אין לעשות בהם כל שימוש אחר (אך מותר להוריד קישוטים מפני גשמים וכד'), ביו""ט ובשבת חוה""מ חל עליהם אף איסור מוקצה ואסור לטלטלם כלל.",מתוך תורת המחנה,https://www.idf.il/אתרי-יחידות/חיל-הרבנות-הצבאית/תוכן-מידע-לחייל/הלכה/קיצור-תורת-המחנה/קיצור-תורת-המחנה-חלק-ג/פרק-נב/,
default,2025-10-09,17 תשרי 5786,sukkot/post,ג,52.0,ח,הלכות סוכה פרק נב,"אויר בסכך בשטח של פחות מג' על ג' טפחים (24 על 24 ס""מ) בטל אגב הסכך ומצטרף לשיעור הכשר הסוכה (אולם למנהג האשכנזים אם יש בו כשיעור ראשו או רובו אסור לאכול ולישון תחתיו). אויר בשטח גדול יותר חולק מקום לעצמו ואינו מצטרף לשיעור הכשר הסוכה (לכן אם הוא חוצה את הסוכה כך שלא נותר במקום הסכך שיעור הכשר סוכה עם הדפנות, כל הסוכה פסולה).",מתוך תורת המחנה,https://www.idf.il/אתרי-יחידות/חיל-הרבנות-הצבאית/תוכן-מידע-לחייל/הלכה/קיצור-תורת-המחנה/קיצור-תורת-המחנה-חלק-ג/פרק-נב/,
